Aar  Biografer Vaskemaskiner  Skilsmisser Storebælt Levendefødte  	 Udvandrede tvspots    Stog  Årsmiddeltemperatur Peter Brøndby
2001	165  76  14697  23    65458	43980  3008657  90564   8.2  271  2  
2002	162  75	 15416	3     64075	43481  3068497	86842 	9.2  223  1  
2003	166  82	 15884	4     64599	43466  2778127	88374 	8.7  204  2  
2004	163  76	 15879	26    64609	45017  3359543	89575 	8.7  200  2  
2005	165  79	 15436	29    64282	45869  3538002	90456 	8.8  148  1  
2006	165  80	 14457	26    64984	46786  3796077	90407 	9.4  162  2  
2007	167  78	 14188	44    64082	42708  4050612	88615 	9.5  145  6  
2008	164  80	 14822	62    65038	48171  4596574	91111 	9.4  128  8  
2009	163  79	 15074	77    62818	51988  4935513	92146 	8.8  119  3  
2010	162  82	 14603	66    63411	52097  5895952	92995 	7.0  120  3  
2011	161  80	 14634	99    58998	55782  5357136	103393	9.0   67  3  
2012	163  79	 15852	64    57916	54907  4965087	106133	8.3   78  9  
2013	162  81	 19062	44    55873	56416  4691854	109243	8.4   79  9  
2014	160  82	 19639	121   56870	59226  4730602	111967	10.0  59  4  
2015	161  78	 16547	83    58205	56340  4233137	114121	9.1   71  3  
